iter	Passed	Remaining
1635	6204	1380
1636	6208	1376
1637	6212	1372
1638	6215	1368
1639	6218	1364
1640	6221	1361
1641	6224	1357
1642	6227	1353
1643	6230	1349
1644	6233	1345
1645	6236	1341
1646	6239	1337
1647	6242	1333
1648	6245	1329
1649	6248	1325
1650	6251	1321
1651	6255	1317
1652	6258	1313
1653	6261	1309
1654	6264	1305
1655	6268	1302
1656	6271	1298
1657	6274	1294
1658	6277	1290
1659	6280	1286
1660	6283	1282
1661	6286	1278
1662	6289	1274
1663	6292	1270
1664	6295	1266
1665	6298	1262
1666	6301	1258
1667	6304	1254
1668	6307	1250
1669	6310	1246
1670	6313	1243
1671	6316	1239
1672	6319	1235
1673	6322	1231
1674	6325	1227
1675	6328	1223
1676	6331	1219
1677	6334	1215
1678	6337	1211
1679	6340	1207
1680	6343	1203
1681	6347	1199
1682	6350	1196
1683	6353	1192
1684	6356	1188
1685	6361	1184
1686	6366	1181
1687	6372	1177
1688	6379	1174
1689	6385	1171
